"Population code"	"Population elastic ID"	"Population name"	"Population description"	"Population latitude"	"Population longitude"	"Superpopulation code"	"Superpopulation name"	"Superpopulation display colour"	"Superpopulation display order"	"Number of samples"	"Data collections"
"CHS"	"CHS"	"Southern Han Chinese"	"Han Chinese South"	23.13333	113.266667	"EAS"	"East Asian Ancestry"	"#778500"	3	171	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,The Human Genome Structural Variation Consortium,1000 Genomes phase 3 release,1000 Genomes phase 1 release,90 Han Chinese high coverage genomes"
"FIN"	"FIN"	"Finnish"	"Finnish in Finland"	60.17	24.93	"EUR"	"European Ancestry"	"#018ead"	4	105	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"PUR"	"PUR"	"Puerto Rican"	"Puerto Rican in Puerto Rico"	18.4	-66.1	"AMR"	"American Ancestry"	"#710027"	2	150	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,The Human Genome Structural Variation Consortium,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"KHV"	"KHV"	"Kinh Vietnamese"	"Kinh in Ho Chi Minh City, Vietnam"	10.78	106.68	"EAS"	"East Asian Ancestry"	"#778500"	3	124	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release"
"ACB"	"ACB"	"African Caribbean"	"African Caribbean in Barbados"	13.1	-59.62	"AFR"	"African Ancestry"	"#ffd845"	1	123	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release"
"BEB"	"BEB"	"Bengali"	"Bengali in Bangladesh"	23.7	90.35	"SAS"	"South Asian Ancestry"	"#c44cfd"	5	144	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release"
"ASW"	"ASW"	"African Ancestry SW"	"African Ancestry in Southwest US"	35.483	-97.53333	"AFR"	"African Ancestry"	"#ffd845"	1	112	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"GWD"	"GWD"	"Gambian Mandinka"	"Gambian in Western Division, The Gambia - Mandinka"	13.454876	-16.579032	"AFR"	"African Ancestry"	"#ffd845"	1	280	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Gambian Genome Variation Project (GRCh37),Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)"
"MSL"	"MSL"	"Mende"	"Mende in Sierra Leone"	8.48	-13.23	"AFR"	"African Ancestry"	"#ffd845"	1	128	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release"
"ESN"	"ESN"	"Esan"	"Esan in Nigeria"	9.06666	7.483333	"AFR"	"African Ancestry"	"#ffd845"	1	173	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release"
"PJL"	"PJL"	"Punjabi"	"Punjabi in Lahore, Pakistan"	31.554606	74.357158	"SAS"	"South Asian Ancestry"	"#c44cfd"	5	158	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release"
"IBS"	"IBS"	"Iberian"	"Iberian populations in Spain"	40.38	-3.72	"EUR"	"European Ancestry"	"#018ead"	4	162	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"CLM"	"CLM"	"Colombian"	"Colombian in Medellin, Colombia"	4.58333	-74.066666	"AMR"	"American Ancestry"	"#710027"	2	148	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"PEL"	"PEL"	"Peruvian"	"Peruvian in Lima, Peru"	-12.04	-77.03	"AMR"	"American Ancestry"	"#710027"	2	130	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release"
"TSI"	"TSI"	"Toscani"	"Toscani in Italy"	42.1	12	"EUR"	"European Ancestry"	"#018ead"	4	112	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"MXL"	"MXL"	"Mexican Ancestry"	"Mexican Ancestry in Los Angeles, California"	34.0544	-118.2439	"AMR"	"American Ancestry"	"#710027"	2	107	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"YRI"	"YRI"	"Yoruba"	"Yoruba in Ibadan, Nigeria"	7.4	3.92	"AFR"	"African Ancestry"	"#ffd845"	1	186	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,The Human Genome Structural Variation Consortium,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"LWK"	"LWK"	"Luhya"	"Luhya in Webuye, Kenya"	-1.27	36.61	"AFR"	"African Ancestry"	"#ffd845"	1	116	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"JPT"	"JPT"	"Japanese"	"Japanese in Tokyo, Japan"	35.68	139.68	"EAS"	"East Asian Ancestry"	"#778500"	3	105	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"CEU"	"CEU"	"CEPH"	"Utah residents (CEPH) with Northern and Western European ancestry"	40.767	-111.8904	"EUR"	"European Ancestry"	"#018ead"	4	184	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Illumina Platinum pedigree,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"CHB"	"CHB"	"Han Chinese"	"Han Chinese in Beijing, China"	39.916666	116.383333	"EAS"	"East Asian Ancestry"	"#778500"	3	112	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release,90 Han Chinese high coverage genomes"
"CDX"	"CDX"	"Dai Chinese"	"Chinese Dai in Xishuangbanna, China"	22	100.78	"EAS"	"East Asian Ancestry"	"#778500"	3	109	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release"
"GIH"	"GIH"	"Gujarati"	"Gujarati Indians in Houston, TX"	29.7589	-95.3677	"SAS"	"South Asian Ancestry"	"#c44cfd"	5	113	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release"
"STU"	"STU"	"Tamil"	"Sri Lankan Tamil in the UK"	52.486243	-1.890401	"SAS"	"South Asian Ancestry"	"#c44cfd"	5	128	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release"
"ITU"	"ITU"	"Telugu"	"Indian Telugu in the UK"	52.486243	-1.890401	"SAS"	"South Asian Ancestry"	"#c44cfd"	5	118	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release"
"GBR"	"GBR"	"British"	"British in England and Scotland"	52.486243	-1.890401	"EUR"	"European Ancestry"	"#018ead"	4	107	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
