individual	sex	super_population	population	project_context	data_source	HIFI_data	CLR_data	is_skipped	PGAS	HIFI_path	CLR_path	SSEQ_path
HG01891	female	AFR	ACB	2022-ongoing	HPRC	yes-HIFI	no-clr	False	v14-dev	/data/hprc_hifi/HG01891	N/A	/data/hprc_strandseq/HG01891
HG02257	female	AFR	ACB	2022-ongoing	HPRC	yes-HIFI	no-clr	False	v14-dev	/data/hprc_hifi/HG02257	N/A	/data/hprc_strandseq/HG02257
HG02282	female	AFR	ACB	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG02282	N/A	/data/hgsvc_strandseq/HG02282
HG02486	male	AFR	ACB	2022-ongoing	HPRC	yes-HIFI	no-clr	False	v14-dev	/data/hprc_hifi/HG02486	N/A	/data/hprc_strandseq/HG02486
HG02554	male	AFR	ACB	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG02554	N/A	/data/hgsvc_strandseq/HG02554
HG02559	female	AFR	ACB	2022-ongoing	HPRC	yes-HIFI	no-clr	False	v14-dev	/data/hprc_hifi/HG02559	N/A	/data/hprc_strandseq/HG02559
NA19836	female	AFR	ASW	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/GM19836	N/A	/data/hgsvc_strandseq/GM19836
NA20355	female	AFR	ASW	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/GM20355	N/A	/data/hgsvc_strandseq/GM20355
HG02953	male	AFR	ESN	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG02953/	N/A	/data/hgsvc_strandseq/HG02953/
HG03125	female	AFR	ESN	2022-ongoing	HGSVC[MGI]	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG03125/	N/A	/data/hgsvc_strandseq/HG03125/
HG03520	female	AFR	ESN	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG03520	N/A	/data/hgsvc_strandseq/HG03520
HC02666	male	AFR	GWD	2022-ongoing	hcHGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HC02666	N/A	/data/hgsvc_strandseq/HC02666
HG02666	male	AFR	GWD	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG02666	N/A	/data/hgsvc_strandseq/HG02666
HG02769	female	AFR	GWD	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG02769/	N/A	/data/hgsvc_strandseq/HG02769/
HG02818	female	AFR	GWD	2022-ongoing	HGSVC[MGI]	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG02818/	N/A	/data/hgsvc_strandseq/HG02818/
HG03248	male	AFR	GWD	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG03248	N/A	/data/hgsvc_strandseq/HG03248
HC19384	male	AFR	LWK	2022-ongoing	hcHGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HC19384	N/A	/data/hgsvc_strandseq/HC19384
NA19317	male	AFR	LWK	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/NA19317	N/A	/data/hgsvc_strandseq/GM19317
NA19320	female	AFR	LWK	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/GM19320/	N/A	N/A
NA19331	male	AFR	LWK	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/GM19331	N/A	/data/hgsvc_strandseq/GM19331
NA19347	male	AFR	LWK	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/NA19347	N/A	/data/hgsvc_strandseq/GM19347
NA19384	male	AFR	LWK	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/NA19384	N/A	/data/hgsvc_strandseq/GM19384
NA19434	female	AFR	LWK	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/GM19434	N/A	/data/hgsvc_strandseq/GM19434
NA21487	female	AFR	MKK	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/GM21487/	N/A	/data/hgsvc_strandseq/GM21487
HG03452	female	AFR	MSL	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG03452	N/A	/data/hgsvc_strandseq/HG03452
HG03486	female	AFR	MSL	2022-ongoing	HGSVC[MGI]	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG03486/	N/A	/data/hgsvc_strandseq/HG03486/
NA19129	female	AFR	YRI	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/GM19129	N/A	/data/hgsvc_strandseq/GM19129
NA19238	female	AFR	YRI	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/NA19238/	N/A	/data/1000GP_strandseq/NA19238/
NA19239	male	AFR	YRI	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/NA19239/	N/A	/data/1000GP_strandseq/NA19239/
NA19240	female	AFR	YRI	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/NA19240/	N/A	/data/1000GP_strandseq/NA19240/
HC01457	male	AMR	CLM	2022-ongoing	hcHGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HC01457	N/A	/data/hgsvc_strandseq/HC01457
HG01123	female	AMR	CLM	2022-ongoing	HPRC	yes-HIFI	no-clr	False	v14-dev	/data/hprc_hifi/HG01123	N/A	/data/hprc_strandseq/HG01123
HG01258	male	AMR	CLM	2022-ongoing	HPRC	yes-HIFI	no-clr	False	v14-dev	/data/hprc_hifi/HG01258	N/A	/data/hprc_strandseq/HG01258
HG01352	female	AMR	CLM	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG01352/	N/A	/data/hgsvc_strandseq/HG01352/
HG01358	male	AMR	CLM	2022-ongoing	HPRC	yes-HIFI	no-clr	False	v14-dev	/data/hprc_hifi/HG01358	N/A	/data/hprc_strandseq/HG01358
HG01361	female	AMR	CLM	2022-ongoing	HPRC	yes-HIFI	no-clr	False	v14-dev	/data/hprc_hifi/HG01361	N/A	/data/hprc_strandseq/HG01361
HG01457	male	AMR	CLM	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG01457	N/A	/data/hgsvc_strandseq/HG01457
HG02106	female	AMR	PEL	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG02106/	N/A	/data/hgsvc_strandseq/HG02106
HG00731	male	AMR	PUR	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG00731/	N/A	/data/1000GP_strandseq/HG00731/
HG00732	female	AMR	PUR	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG00732/	N/A	/data/1000GP_strandseq/HG00732/
HG00733	female	AMR	PUR	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG00733/	N/A	/data/1000GP_strandseq/HG00733/
HG00512	male	EAS	CHS	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG00512/	N/A	/data/1000GP_strandseq/HG00512/
HG00513	female	EAS	CHS	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG00513/	N/A	/data/1000GP_strandseq/HG00513/
HG00514	female	EAS	CHS	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG00514/	N/A	/data/1000GP_strandseq/HG00514/
HC18989	male	EAS	JPT	2022-ongoing	hcHGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HC18989/	N/A	/data/hgsvc_strandseq/HC18989/
NA18989	male	EAS	JPT	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/GM18989/	N/A	/data/hgsvc_strandseq/GM18989/
HG02059	female	EAS	KHV	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG02059/	N/A	/data/hgsvc_strandseq/HG02059/
NA24385	male	EUR	ASK	2022-ongoing	EXT[GIAB.HPG]	yes-HIFI	no-clr	False	v14-dev	/data/giab_hifi/NA24385_HG002/	N/A	/data/hprc_plus/strandseq/HG002_NA24385/selected/
NA12878	female	EUR	CEU	2022-ongoing	EXT[GIAB.HPG]	yes-HIFI	no-clr	False	v14-dev	/data/giab_hifi/NA12878_HG001/	N/A	/data/eriba_strandseq/NA12878/
HG00268	female	EUR	FIN	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG00268/	N/A	/data/hgsvc_strandseq/HG00268/
HG03807	female	SAS	BEB	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG03807/	N/A	/data/hgsvc_strandseq/HG03807/
HG04217	female	SAS	ITU	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG04217/	N/A	/data/hgsvc_strandseq/HG04217/
HG04036	female	SAS	STU	2022-ongoing	HGSVC	yes-HIFI	no-clr	False	v14-dev	/data/hgsvc_hifi/HG04036/	N/A	/data/hgsvc_strandseq/HG04036
